id,dominio_gabarito,features_refair,features_proxy_intersecao,features_dominio_ontologia,refair_dentro_do_dominio,refair_falsos_positivos
A2US9Ge,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
A2US10Ge,Psychology,age; gender; race; sex,age; ethnicity; gender; geography,age; ethnicity; gender; geography,Não,race; sex
A2US1Ll,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
A2US2Ll,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
A2US3Ll,Psychology,age; ethnicity; gender; race; sex,age; ethnicity; gender; geography,age; ethnicity; gender; geography,Não,race; sex
A2US4Ll,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
A2US5Ll,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
A2US6Ll,Psychology,age; gender,age; ethnicity; gender; geography,age; ethnicity; gender; geography,Sim,
A2US7Ll,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
A2US8Ll,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
A2US9Ll,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
A2US10Ll,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
A2US1O1,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
A2US2O1,Psychology,author; geography; news provider; textual references to people and their demographics,age; ethnicity; gender; geography,age; ethnicity; gender; geography,Não,author; news provider; textual references to people and their demographics
A2US3O1,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
A2US4O1,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
A2US5O1,Psychology,age; gender,age; ethnicity; gender; geography,age; ethnicity; gender; geography,Sim,
A2US6O1,Psychology,age; ethnicity; gender; geography; sex,age; ethnicity; gender; geography,age; ethnicity; gender; geography,Não,sex
A2US7O1,Psychology,age; ethnicity; gender; geography; sex,age; ethnicity; gender; geography,age; ethnicity; gender; geography,Não,sex
A2US8O1,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
A2US9O1,Psychology,age; ethnicity; gender; race; sex,age; ethnicity; gender; geography,age; ethnicity; gender; geography,Não,race; sex
A2US10O1,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
A3US1Ge,Social Media,age; disability; gender; geography; political leaning; race; race/ethnicity; religion; sexual orientation; textual references to people and their demographics,age; gender; geography; political leaning; race; religion; textual references to people and their demographics,age; dialect (related to race); disability; gender; geography; political leaning; political orientation; race; race/ethnicity; religion; sexual orientation; textual references to people and their demographics,Sim,
A3US2Ge,Social Media,,age; gender; geography; political leaning; race; religion; textual references to people and their demographics,age; dialect (related to race); disability; gender; geography; political leaning; political orientation; race; race/ethnicity; religion; sexual orientation; textual references to people and their demographics,—,
A3US3Ge,Social Media,,age; gender; geography; political leaning; race; religion; textual references to people and their demographics,age; dialect (related to race); disability; gender; geography; political leaning; political orientation; race; race/ethnicity; religion; sexual orientation; textual references to people and their demographics,—,
A3US4Ge,Social Media,,age; gender; geography; political leaning; race; religion; textual references to people and their demographics,age; dialect (related to race); disability; gender; geography; political leaning; political orientation; race; race/ethnicity; religion; sexual orientation; textual references to people and their demographics,—,
A3US5Ge,Social Media,,age; gender; geography; political leaning; race; religion; textual references to people and their demographics,age; dialect (related to race); disability; gender; geography; political leaning; political orientation; race; race/ethnicity; religion; sexual orientation; textual references to people and their demographics,—,
A3US6Ge,Social Media,,age; gender; geography; political leaning; race; religion; textual references to people and their demographics,age; dialect (related to race); disability; gender; geography; political leaning; political orientation; race; race/ethnicity; religion; sexual orientation; textual references to people and their demographics,—,
A3US7Ge,Social Media,,age; gender; geography; political leaning; race; religion; textual references to people and their demographics,age; dialect (related to race); disability; gender; geography; political leaning; political orientation; race; race/ethnicity; religion; sexual orientation; textual references to people and their demographics,—,
A3US8Ge,Social Media,,age; gender; geography; political leaning; race; religion; textual references to people and their demographics,age; dialect (related to race); disability; gender; geography; political leaning; political orientation; race; race/ethnicity; religion; sexual orientation; textual references to people and their demographics,—,
A3US9Ge,Social Media,,age; gender; geography; political leaning; race; religion; textual references to people and their demographics,age; dialect (related to race); disability; gender; geography; political leaning; political orientation; race; race/ethnicity; religion; sexual orientation; textual references to people and their demographics,—,
A3US10Ge,Social Media,author; geography; news provider; textual references to people and their demographics,age; gender; geography; political leaning; race; religion; textual references to people and their demographics,age; dialect (related to race); disability; gender; geography; political leaning; political orientation; race; race/ethnicity; religion; sexual orientation; textual references to people and their demographics,Não,author; news provider
A3US1Ll,Social Media,,age; gender; geography; political leaning; race; religion; textual references to people and their demographics,age; dialect (related to race); disability; gender; geography; political leaning; political orientation; race; race/ethnicity; religion; sexual orientation; textual references to people and their demographics,—,
A3US2Ll,Social Media,,age; gender; geography; political leaning; race; religion; textual references to people and their demographics,age; dialect (related to race); disability; gender; geography; political leaning; political orientation; race; race/ethnicity; religion; sexual orientation; textual references to people and their demographics,—,
A3US3Ll,Social Media,,age; gender; geography; political leaning; race; religion; textual references to people and their demographics,age; dialect (related to race); disability; gender; geography; political leaning; political orientation; race; race/ethnicity; religion; sexual orientation; textual references to people and their demographics,—,
A3US4Ll,Social Media,,age; gender; geography; political leaning; race; religion; textual references to people and their demographics,age; dialect (related to race); disability; gender; geography; political leaning; political orientation; race; race/ethnicity; religion; sexual orientation; textual references to people and their demographics,—,
A3US5Ll,Social Media,,age; gender; geography; political leaning; race; religion; textual references to people and their demographics,age; dialect (related to race); disability; gender; geography; political leaning; political orientation; race; race/ethnicity; religion; sexual orientation; textual references to people and their demographics,—,
A3US6Ll,Social Media,,age; gender; geography; political leaning; race; religion; textual references to people and their demographics,age; dialect (related to race); disability; gender; geography; political leaning; political orientation; race; race/ethnicity; religion; sexual orientation; textual references to people and their demographics,—,
A3US7Ll,Social Media,age; ethnicity; gender; race; sex,age; gender; geography; political leaning; race; religion; textual references to people and their demographics,age; dialect (related to race); disability; gender; geography; political leaning; political orientation; race; race/ethnicity; religion; sexual orientation; textual references to people and their demographics,Não,ethnicity; sex
A3US8Ll,Social Media,,age; gender; geography; political leaning; race; religion; textual references to people and their demographics,age; dialect (related to race); disability; gender; geography; political leaning; political orientation; race; race/ethnicity; religion; sexual orientation; textual references to people and their demographics,—,
A3US9Ll,Social Media,,age; gender; geography; political leaning; race; religion; textual references to people and their demographics,age; dialect (related to race); disability; gender; geography; political leaning; political orientation; race; race/ethnicity; religion; sexual orientation; textual references to people and their demographics,—,
A3US10Ll,Social Media,age; ethnicity; gender; geography; race; sex,age; gender; geography; political leaning; race; religion; textual references to people and their demographics,age; dialect (related to race); disability; gender; geography; political leaning; political orientation; race; race/ethnicity; religion; sexual orientation; textual references to people and their demographics,Não,ethnicity; sex
A3US1O1,Social Media,age; gender; geography; political leaning; race; religion; textual references to people and their demographics,age; gender; geography; political leaning; race; religion; textual references to people and their demographics,age; dialect (related to race); disability; gender; geography; political leaning; political orientation; race; race/ethnicity; religion; sexual orientation; textual references to people and their demographics,Sim,
A3US2O1,Social Media,,age; gender; geography; political leaning; race; religion; textual references to people and their demographics,age; dialect (related to race); disability; gender; geography; political leaning; political orientation; race; race/ethnicity; religion; sexual orientation; textual references to people and their demographics,—,
A3US3O1,Social Media,,age; gender; geography; political leaning; race; religion; textual references to people and their demographics,age; dialect (related to race); disability; gender; geography; political leaning; political orientation; race; race/ethnicity; religion; sexual orientation; textual references to people and their demographics,—,
A3US4O1,Social Media,,age; gender; geography; political leaning; race; religion; textual references to people and their demographics,age; dialect (related to race); disability; gender; geography; political leaning; political orientation; race; race/ethnicity; religion; sexual orientation; textual references to people and their demographics,—,
A3US5O1,Social Media,,age; gender; geography; political leaning; race; religion; textual references to people and their demographics,age; dialect (related to race); disability; gender; geography; political leaning; political orientation; race; race/ethnicity; religion; sexual orientation; textual references to people and their demographics,—,
A3US6O1,Social Media,,age; gender; geography; political leaning; race; religion; textual references to people and their demographics,age; dialect (related to race); disability; gender; geography; political leaning; political orientation; race; race/ethnicity; religion; sexual orientation; textual references to people and their demographics,—,
A3US7O1,Social Media,age; ethnicity; gender; race; sex,age; gender; geography; political leaning; race; religion; textual references to people and their demographics,age; dialect (related to race); disability; gender; geography; political leaning; political orientation; race; race/ethnicity; religion; sexual orientation; textual references to people and their demographics,Não,ethnicity; sex
A3US8O1,Social Media,age; gender; geography; race; sex,age; gender; geography; political leaning; race; religion; textual references to people and their demographics,age; dialect (related to race); disability; gender; geography; political leaning; political orientation; race; race/ethnicity; religion; sexual orientation; textual references to people and their demographics,Não,sex
A3US9O1,Social Media,age; gender; geography; race; sex,age; gender; geography; political leaning; race; religion; textual references to people and their demographics,age; dialect (related to race); disability; gender; geography; political leaning; political orientation; race; race/ethnicity; religion; sexual orientation; textual references to people and their demographics,Não,sex
A3US10O1,Social Media,,age; gender; geography; political leaning; race; religion; textual references to people and their demographics,age; dialect (related to race); disability; gender; geography; political leaning; political orientation; race; race/ethnicity; religion; sexual orientation; textual references to people and their demographics,—,
A4US1Ge,Political Science,age; ethnicity; gender; geography; sex,age; gender; geography; political affiliation (representation in different precincts); race,age; education; ethnicity; gender; geography; political affiliation (representation in different precincts); race; urban/rural,Não,sex
A4US2Ge,Political Science,,age; gender; geography; political affiliation (representation in different precincts); race,age; education; ethnicity; gender; geography; political affiliation (representation in different precincts); race; urban/rural,—,
A4US3Ge,Political Science,age; birth category; caste; ethnicity; family wealth; financial status; gender; geography; race; sex,age; gender; geography; political affiliation (representation in different precincts); race,age; education; ethnicity; gender; geography; political affiliation (representation in different precincts); race; urban/rural,Não,birth category; caste; family wealth; financial status; sex
A4US4Ge,Political Science,,age; gender; geography; political affiliation (representation in different precincts); race,age; education; ethnicity; gender; geography; political affiliation (representation in different precincts); race; urban/rural,—,
A4US5Ge,Political Science,,age; gender; geography; political affiliation (representation in different precincts); race,age; education; ethnicity; gender; geography; political affiliation (representation in different precincts); race; urban/rural,—,
A4US6Ge,Political Science,age; gender; geography; race; sex,age; gender; geography; political affiliation (representation in different precincts); race,age; education; ethnicity; gender; geography; political affiliation (representation in different precincts); race; urban/rural,Não,sex
A4US7Ge,Political Science,activity; age; gender; geography; race; sex,age; gender; geography; political affiliation (representation in different precincts); race,age; education; ethnicity; gender; geography; political affiliation (representation in different precincts); race; urban/rural,Não,activity; sex
A4US8Ge,Political Science,age; ethnicity; gender; geography; sex,age; gender; geography; political affiliation (representation in different precincts); race,age; education; ethnicity; gender; geography; political affiliation (representation in different precincts); race; urban/rural,Não,sex
A4US9Ge,Political Science,,age; gender; geography; political affiliation (representation in different precincts); race,age; education; ethnicity; gender; geography; political affiliation (representation in different precincts); race; urban/rural,—,
A4US10Ge,Political Science,age; ethnicity; gender; race; sex,age; gender; geography; political affiliation (representation in different precincts); race,age; education; ethnicity; gender; geography; political affiliation (representation in different precincts); race; urban/rural,Não,sex
A4US1Ll,Political Science,,age; gender; geography; political affiliation (representation in different precincts); race,age; education; ethnicity; gender; geography; political affiliation (representation in different precincts); race; urban/rural,—,
A4US2Ll,Political Science,age; gender; geography; race; sex,age; gender; geography; political affiliation (representation in different precincts); race,age; education; ethnicity; gender; geography; political affiliation (representation in different precincts); race; urban/rural,Não,sex
A4US3Ll,Political Science,,age; gender; geography; political affiliation (representation in different precincts); race,age; education; ethnicity; gender; geography; political affiliation (representation in different precincts); race; urban/rural,—,
A4US4Ll,Political Science,age; ethnicity; gender; geography; sex,age; gender; geography; political affiliation (representation in different precincts); race,age; education; ethnicity; gender; geography; political affiliation (representation in different precincts); race; urban/rural,Não,sex
A4US5Ll,Political Science,,age; gender; geography; political affiliation (representation in different precincts); race,age; education; ethnicity; gender; geography; political affiliation (representation in different precincts); race; urban/rural,—,
A4US6Ll,Political Science,,age; gender; geography; political affiliation (representation in different precincts); race,age; education; ethnicity; gender; geography; political affiliation (representation in different precincts); race; urban/rural,—,
A4US7Ll,Political Science,age; gender; geography; race; sex,age; gender; geography; political affiliation (representation in different precincts); race,age; education; ethnicity; gender; geography; political affiliation (representation in different precincts); race; urban/rural,Não,sex
A4US8Ll,Political Science,,age; gender; geography; political affiliation (representation in different precincts); race,age; education; ethnicity; gender; geography; political affiliation (representation in different precincts); race; urban/rural,—,
A4US9Ll,Political Science,,age; gender; geography; political affiliation (representation in different precincts); race,age; education; ethnicity; gender; geography; political affiliation (representation in different precincts); race; urban/rural,—,
A4US10Ll,Political Science,age; ethnicity; gender; geography; race; sex,age; gender; geography; political affiliation (representation in different precincts); race,age; education; ethnicity; gender; geography; political affiliation (representation in different precincts); race; urban/rural,Não,sex
A4US1O1,Political Science,age; ethnicity; gender; geography; race; sex,age; gender; geography; political affiliation (representation in different precincts); race,age; education; ethnicity; gender; geography; political affiliation (representation in different precincts); race; urban/rural,Não,sex
A4US2O1,Political Science,,age; gender; geography; political affiliation (representation in different precincts); race,age; education; ethnicity; gender; geography; political affiliation (representation in different precincts); race; urban/rural,—,
A4US3O1,Political Science,,age; gender; geography; political affiliation (representation in different precincts); race,age; education; ethnicity; gender; geography; political affiliation (representation in different precincts); race; urban/rural,—,
A4US4O1,Political Science,,age; gender; geography; political affiliation (representation in different precincts); race,age; education; ethnicity; gender; geography; political affiliation (representation in different precincts); race; urban/rural,—,
A4US5O1,Political Science,,age; gender; geography; political affiliation (representation in different precincts); race,age; education; ethnicity; gender; geography; political affiliation (representation in different precincts); race; urban/rural,—,
A4US6O1,Political Science,age; ethnicity; gender; geography,age; gender; geography; political affiliation (representation in different precincts); race,age; education; ethnicity; gender; geography; political affiliation (representation in different precincts); race; urban/rural,Sim,
A4US7O1,Political Science,,age; gender; geography; political affiliation (representation in different precincts); race,age; education; ethnicity; gender; geography; political affiliation (representation in different precincts); race; urban/rural,—,
A4US8O1,Political Science,age; ethnicity; gender; geography; race; sex,age; gender; geography; political affiliation (representation in different precincts); race,age; education; ethnicity; gender; geography; political affiliation (representation in different precincts); race; urban/rural,Não,sex
A4US9O1,Political Science,,age; gender; geography; political affiliation (representation in different precincts); race,age; education; ethnicity; gender; geography; political affiliation (representation in different precincts); race; urban/rural,—,
A4US10O1,Political Science,age; gender; geography; race; sex,age; gender; geography; political affiliation (representation in different precincts); race,age; education; ethnicity; gender; geography; political affiliation (representation in different precincts); race; urban/rural,Não,sex
A5US1Ge,Health,,age; geography; sex,age; blood type; ethnicity; gender; geography; sex,—,
A5US2Ge,Health,,age; geography; sex,age; blood type; ethnicity; gender; geography; sex,—,
A5US3Ge,Health,,age; geography; sex,age; blood type; ethnicity; gender; geography; sex,—,
A5US4Ge,Health,,age; geography; sex,age; blood type; ethnicity; gender; geography; sex,—,
A5US5Ge,Health,,age; geography; sex,age; blood type; ethnicity; gender; geography; sex,—,
A5US6Ge,Health,,age; geography; sex,age; blood type; ethnicity; gender; geography; sex,—,
A5US7Ge,Health,,age; geography; sex,age; blood type; ethnicity; gender; geography; sex,—,
A5US8Ge,Health,,age; geography; sex,age; blood type; ethnicity; gender; geography; sex,—,
A5US9Ge,Health,,age; geography; sex,age; blood type; ethnicity; gender; geography; sex,—,
A5US10Ge,Health,,age; geography; sex,age; blood type; ethnicity; gender; geography; sex,—,
A5US1Ll,Health,,age; geography; sex,age; blood type; ethnicity; gender; geography; sex,—,
A5US2Ll,Health,age; ethnicity; gender; geography; sex,age; geography; sex,age; blood type; ethnicity; gender; geography; sex,Sim,
A5US3Ll,Health,gender,age; geography; sex,age; blood type; ethnicity; gender; geography; sex,Sim,
A5US4Ll,Health,,age; geography; sex,age; blood type; ethnicity; gender; geography; sex,—,
A5US5Ll,Health,age; gender; geography; race; sex,age; geography; sex,age; blood type; ethnicity; gender; geography; sex,Não,race
A5US6Ll,Health,age; gender; geography; race; sex,age; geography; sex,age; blood type; ethnicity; gender; geography; sex,Não,race
A5US7Ll,Health,age; gender,age; geography; sex,age; blood type; ethnicity; gender; geography; sex,Sim,
A5US8Ll,Health,,age; geography; sex,age; blood type; ethnicity; gender; geography; sex,—,
A5US9Ll,Health,,age; geography; sex,age; blood type; ethnicity; gender; geography; sex,—,
A5US10Ll,Health,age; ethnicity; gender; geography; sex,age; geography; sex,age; blood type; ethnicity; gender; geography; sex,Sim,
A5US1O1,Health,,age; geography; sex,age; blood type; ethnicity; gender; geography; sex,—,
A5US2O1,Health,,age; geography; sex,age; blood type; ethnicity; gender; geography; sex,—,
A5US3O1,Health,,age; geography; sex,age; blood type; ethnicity; gender; geography; sex,—,
A5US4O1,Health,activity; age; gender; geography; race; sex,age; geography; sex,age; blood type; ethnicity; gender; geography; sex,Não,activity; race
A5US5O1,Health,age; ethnicity; gender; geography; sex,age; geography; sex,age; blood type; ethnicity; gender; geography; sex,Sim,
A5US6O1,Health,gender; geography,age; geography; sex,age; blood type; ethnicity; gender; geography; sex,Sim,
A5US7O1,Health,,age; geography; sex,age; blood type; ethnicity; gender; geography; sex,—,
A5US8O1,Health,activity; age; gender; geography; race; sex,age; geography; sex,age; blood type; ethnicity; gender; geography; sex,Não,activity; race
A5US9O1,Health,geography; news provider; textual references to people and their demographics,age; geography; sex,age; blood type; ethnicity; gender; geography; sex,Não,news provider; textual references to people and their demographics
A5US10O1,Health,age; gender; geography; race; sex; skin tone; textual references to people and their demographics,age; geography; sex,age; blood type; ethnicity; gender; geography; sex,Não,race; skin tone; textual references to people and their demographics
A6US1Ge,Transportation,,geography; race,geography; race,—,
A6US2Ge,Transportation,,geography; race,geography; race,—,
A6US3Ge,Transportation,,geography; race,geography; race,—,
A6US4Ge,Transportation,,geography; race,geography; race,—,
A6US5Ge,Transportation,,geography; race,geography; race,—,
A6US6Ge,Transportation,age; gender; geography; race; sex,geography; race,geography; race,Não,age; gender; sex
A6US7Ge,Transportation,,geography; race,geography; race,—,
A6US8Ge,Transportation,,geography; race,geography; race,—,
A6US9Ge,Transportation,,geography; race,geography; race,—,
A6US10Ge,Transportation,author; gender; textual references to people and their demographics,geography; race,geography; race,Não,author; gender; textual references to people and their demographics
A6US1Ll,Transportation,age; ethnicity; family wealth; gender; geography; race; sex,geography; race,geography; race,Não,age; ethnicity; family wealth; gender; sex
A6US2Ll,Transportation,,geography; race,geography; race,—,
A6US3Ll,Transportation,,geography; race,geography; race,—,
A6US4Ll,Transportation,gender; geography,geography; race,geography; race,Não,gender
A6US5Ll,Transportation,,geography; race,geography; race,—,
A6US6Ll,Transportation,,geography; race,geography; race,—,
A6US7Ll,Transportation,,geography; race,geography; race,—,
A6US8Ll,Transportation,author; geography; news provider; textual references to people and their demographics,geography; race,geography; race,Não,author; news provider; textual references to people and their demographics
A6US9Ll,Transportation,,geography; race,geography; race,—,
A6US10Ll,Transportation,,geography; race,geography; race,—,
A6US1O1,Transportation,,geography; race,geography; race,—,
A6US2O1,Transportation,age; gender; race; sex,geography; race,geography; race,Não,age; gender; sex
A6US3O1,Transportation,author; gender; textual references to people and their demographics,geography; race,geography; race,Não,author; gender; textual references to people and their demographics
A6US4O1,Transportation,,geography; race,geography; race,—,
A6US5O1,Transportation,age; gender; race; sex,geography; race,geography; race,Não,age; gender; sex
A6US6O1,Transportation,geography; race,geography; race,geography; race,Sim,
A6US7O1,Transportation,,geography; race,geography; race,—,
A6US8O1,Transportation,age; ethnicity; gender; geography; sex,geography; race,geography; race,Não,age; ethnicity; gender; sex
A6US9O1,Transportation,gender,geography; race,geography; race,Não,gender
A6US10O1,Transportation,,geography; race,geography; race,—,
A7US1Ge,Psychology,age; ethnicity; gender; geography; sex,age; ethnicity; gender; geography,age; ethnicity; gender; geography,Não,sex
A7US2Ge,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
A7US3Ge,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
A7US4Ge,Psychology,activity; age; gender; geography; race; sex,age; ethnicity; gender; geography,age; ethnicity; gender; geography,Não,activity; race; sex
A7US5Ge,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
A7US6Ge,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
A7US7Ge,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
A7US8Ge,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
A7US9Ge,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
A7US10Ge,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
A7US1Ll,Psychology,age; ethnicity; gender; geography; sex,age; ethnicity; gender; geography,age; ethnicity; gender; geography,Não,sex
A7US2Ll,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
A7US3Ll,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
A7US4Ll,Psychology,age; ethnicity; gender; geography; sex,age; ethnicity; gender; geography,age; ethnicity; gender; geography,Não,sex
A7US5Ll,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
A7US6Ll,Psychology,age; ethnicity; gender; geography; sex,age; ethnicity; gender; geography,age; ethnicity; gender; geography,Não,sex
A7US7Ll,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
A7US8Ll,Psychology,age; gender,age; ethnicity; gender; geography,age; ethnicity; gender; geography,Sim,
A7US9Ll,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
A7US10Ll,Psychology,activity; age; gender; geography; race; sex,age; ethnicity; gender; geography,age; ethnicity; gender; geography,Não,activity; race; sex
A7US1O1,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
A7US2O1,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
A7US3O1,Psychology,age; ethnicity; gender; race; sex,age; ethnicity; gender; geography,age; ethnicity; gender; geography,Não,race; sex
A7US4O1,Psychology,age; gender,age; ethnicity; gender; geography,age; ethnicity; gender; geography,Sim,
A7US5O1,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
A7US6O1,Psychology,age; ethnicity; gender; race; sex,age; ethnicity; gender; geography,age; ethnicity; gender; geography,Não,race; sex
A7US7O1,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
A7US8O1,Psychology,age; ethnicity; gender; geography; race; sex,age; ethnicity; gender; geography,age; ethnicity; gender; geography,Não,race; sex
A7US9O1,Psychology,age; ethnicity; gender; geography; sex,age; ethnicity; gender; geography,age; ethnicity; gender; geography,Não,sex
A7US10O1,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
A8US1Ge,Health,,age; gender; sex,age; blood type; ethnicity; gender; geography; sex,—,
A8US2Ge,Health,geography; news provider; textual references to people and their demographics,age; gender; sex,age; blood type; ethnicity; gender; geography; sex,Não,news provider; textual references to people and their demographics
A8US3Ge,Health,,age; gender; sex,age; blood type; ethnicity; gender; geography; sex,—,
A8US4Ge,Health,,age; gender; sex,age; blood type; ethnicity; gender; geography; sex,—,
A8US5Ge,Health,,age; gender; sex,age; blood type; ethnicity; gender; geography; sex,—,
A8US6Ge,Health,,age; gender; sex,age; blood type; ethnicity; gender; geography; sex,—,
A8US7Ge,Health,,age; gender; sex,age; blood type; ethnicity; gender; geography; sex,—,
A8US8Ge,Health,,age; gender; sex,age; blood type; ethnicity; gender; geography; sex,—,
A8US9Ge,Health,,age; gender; sex,age; blood type; ethnicity; gender; geography; sex,—,
A8US10Ge,Health,age; gender; race; sex,age; gender; sex,age; blood type; ethnicity; gender; geography; sex,Não,race
A8US1Ll,Health,,age; gender; sex,age; blood type; ethnicity; gender; geography; sex,—,
A8US2Ll,Health,age; ethnicity; gender; geography; sex,age; gender; sex,age; blood type; ethnicity; gender; geography; sex,Sim,
A8US3Ll,Health,,age; gender; sex,age; blood type; ethnicity; gender; geography; sex,—,
A8US4Ll,Health,,age; gender; sex,age; blood type; ethnicity; gender; geography; sex,—,
A8US5Ll,Health,,age; gender; sex,age; blood type; ethnicity; gender; geography; sex,—,
A8US6Ll,Health,,age; gender; sex,age; blood type; ethnicity; gender; geography; sex,—,
A8US7Ll,Health,,age; gender; sex,age; blood type; ethnicity; gender; geography; sex,—,
A8US8Ll,Health,,age; gender; sex,age; blood type; ethnicity; gender; geography; sex,—,
A8US9Ll,Health,,age; gender; sex,age; blood type; ethnicity; gender; geography; sex,—,
A8US10Ll,Health,,age; gender; sex,age; blood type; ethnicity; gender; geography; sex,—,
A8US1O1,Health,,age; gender; sex,age; blood type; ethnicity; gender; geography; sex,—,
A8US2O1,Health,gender; geography,age; gender; sex,age; blood type; ethnicity; gender; geography; sex,Sim,
A8US3O1,Health,age; gender; geography; race; sex; skin tone,age; gender; sex,age; blood type; ethnicity; gender; geography; sex,Não,race; skin tone
